Element,Crystal System,Space Group,Space Group Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Traditional Radius (Å),Volume Radius (Å),Corrected Volume Radius (Å),Primary Radius (Å),Atomic Volume (Å³),Coordination Number,Filename
Cs,bcc,I m -3 m,229,6.141,6.141,6.141,90.0,90.0,90.0,231.59,2.0,1.91,2.6591310023201187,3.0236654159962595,2.620006082960759,2.620006082960759,115.795,8.0,Cs_(bcc)_EntryWithCollCode626969.cif
Cu,fcc,F m -3 m,225,3.6199,3.6199,3.6199,90.0,90.0,90.0,47.43,4.0,8.9,1.2798279186085915,1.414603868280462,1.279792119633334,1.279792119633334,11.8575,12.0,Cu_(fcc)_EntryWithCollCode136042.cif
D,cI4,I 2 3,197,5.21,5.21,5.21,90.0,90.0,90.0,141.42,2.0,0.09,2.605,2.565256180579214,2.326687355785347,2.326687355785347,70.71,2.0,D2_(cI4)_EntryWithCollCode28466.cif
Dy,hcp,P 63/m m c,194,3.5903,3.5903,5.6475,90.0,90.0,120.0,63.04,2.0,8.56,1.79515,1.9595929417566769,1.7804861468801165,1.7804861468801165,31.52,12.0,Dy_(hcp)_EntryWithCollCode53357.cif
Er,hcp,P 63/m m c,194,3.5588,3.5588,5.5874,90.0,90.0,120.0,61.28,2.0,9.06,1.7794,1.9411840634115898,1.7637598400157704,1.7637598400157704,30.64,12.0,Er_(hcp)_EntryWithCollCode53387.cif
Eu,bcc,I m -3 m,229,4.5824,4.5824,4.5824,90.0,90.0,90.0,96.22,2.0,5.24,1.9842374051509055,2.2562241797077434,1.9550182517167598,1.9550182517167598,48.11,8.0,Eu_(bcc)_EntryWithCollCode53422.cif
F,β-F2,C 1 2/m 1,12,5.5,3.28,10.01,90.0,134.66,90.0,128.45,4.0,1.97,1.64,1.9717953404175892,1.7884183737587533,1.7884183737587533,32.1125,,F_(β-F2)_EntryWithCollCode22271.cif
Fe,bcc,I m -3 m,229,2.866533,2.866533,2.866533,90.0,90.0,90.0,23.55,2.0,7.88,1.241245199393209,1.4113154704203619,1.2229048551192436,1.2229048551192436,11.775,8.0,Fe_(bcc)_EntryWithCollCode48382.cif
Ga,α-Ga,C m c a,64,4.5198,7.6602,4.5258,90.0,90.0,90.0,156.69,8.0,5.91,2.2599,1.672197467696839,1.516683103201033,1.516683103201033,19.58625,,Ga_(α-Ga)_EntryWithCollCode52271.cif
Gd,hcp,P 63/m m c,194,3.633,3.633,5.7739,90.0,90.0,120.0,66.0,2.0,7.91,1.8165,1.989795496189589,1.8079281878378604,1.8079281878378604,33.0,12.0,Gd_(hcp)_EntryWithCollCode635713.cif
Ge,diamond,F d -3 m S,227,5.65735,5.65735,5.65735,90.0,90.0,90.0,181.07,8.0,5.33,1.2248522045249735,1.7547798350783679,1.5915853104160798,1.5915853104160798,22.63375,4.0,Ge_(diamond)_EntryWithCollCode44610.cif
H,cI4,I 2 3,197,5.21,5.21,5.21,90.0,90.0,90.0,141.42,2.0,0.05,2.605,2.565256180579214,2.326687355785347,2.326687355785347,70.71,2.0,H_(cI4)_EntryWithCollCode28465.cif
He,bcc,I m -3 m,229,4.11,4.11,4.11,90.0,90.0,90.0,69.43,2.0,0.19,1.7796822047770215,2.0236847242375506,1.7535228135518377,1.7535228135518377,34.715,8.0,He_(bcc)_EntryWithCollCode43425.cif
Hf,hcp,P 63/m m c,194,3.1946,3.1946,5.051,90.0,90.0,120.0,44.64,2.0,13.28,1.5973,1.7466338006580149,1.5869914712778723,1.5869914712778723,22.32,12.0,Hf_(hcp)_EntryWithCollCode638559.cif
Hg,unknown,R -3 m H,166,3.46,3.46,6.702,90.0,90.0,120.0,69.48,3.0,14.38,1.73,1.7682757126648636,1.6038260713870314,1.6038260713870314,23.16,,Hg_(Hg(LT) - R-3mR)_EntryWithCollCode654919.cif
Ho,hcp,P 63/m m c,194,3.5773,3.5773,5.6158,90.0,90.0,120.0,62.24,2.0,8.8,1.78865,1.9512683174235603,1.772922393211047,1.772922393211047,31.12,12.0,Ho_(hcp)_EntryWithCollCode102660.cif
I,Cmca,C m c a,64,7.255,4.795,9.78,90.0,90.0,90.0,340.22,4.0,4.95,2.3975,2.728163619267896,2.4744444026759815,2.4744444026759815,85.055,,I_(Cmca)_EntryWithCollCode24009.cif
In,tI2,I 4/m m m,139,3.26,3.26,4.94,90.0,90.0,90.0,52.5,2.0,7.26,1.63,1.843657450632164,1.6721973077233727,1.6721973077233727,26.25,,In_(tI2)_EntryWithCollCode182791.cif
Ir,hcp,F m -3 m,225,3.8385,3.8385,3.8385,90.0,90.0,90.0,56.56,4.0,22.69,1.91925,1.5001001922673907,1.3629910346941512,1.3629910346941512,14.14,12.0,Ir_(hcp)_EntryWithCollCode640730.cif
K,bcc,I m -3 m,229,5.328,5.328,5.328,90.0,90.0,90.0,151.25,2.0,0.86,2.3070916756817446,2.6233662448009056,2.273146851119985,2.273146851119985,75.625,8.0,K_(bcc)_EntryWithCollCode44670.cif
Kr,"Multiple: fcc, hcp",F m -3 m,225,4.819,4.819,6.084,90.0,90.0,105.0,134.85,3.0,3.0949999999999998,1.9966670080824387,2.2068824769611353,2.0008769276089358,2.0008769276089358,45.0225,12.0,"Averaged from 2 files: Kr_(fcc)_EntryWithCollCode43726.cif, Kr_(hcp)_EntryWithCollCode9785.cif"
La,α-La,P 63/m m c,194,3.774,3.774,12.171,90.0,90.0,120.0,150.13,4.0,6.15,1.887,2.077014976138714,1.8855141953387247,1.8855141953387247,37.5325,12.0,La_(α-La)_EntryWithCollCode641382.cif
Li,bcc,I m -3 m,229,3.51004,3.51004,3.51004,90.0,90.0,90.0,43.25,2.0,0.53,1.5198919041497654,1.7283134204420767,1.4975835788130596,1.4975835788130596,21.625,8.0,Li_(bcc)_EntryWithCollCode44367.cif
Lu,hcp,P 63/m m c,194,3.5031,3.5031,5.5509,90.0,90.0,120.0,58.99,2.0,9.85,1.75155,1.9166961201373987,1.7415100947568403,1.7415100947568403,29.495,12.0,Lu_(hcp)_EntryWithCollCode44909.cif
