Element,Crystal System,Space Group,Space Group_Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Metallic Radius (Å),Atomic Volume (Å³),Coordination Number,Calculation Method,Filename,Atomic Number,Element Category
Co,hcp,P 63/m m c,194,2.520000,2.520000,4.074000,90.000000,90.000000,120.000000,22.410000,2,8.740000,1.260000,11.205000,12,hcp,Co_(hcp)_EntryWithCollCode184251.cif,27.000000,Transition Metals
Ni,fcc,F m -3 m,225,3.577870,3.577870,3.577870,90.000000,90.000000,90.000000,45.800000,4,8.510000,1.264968,11.450000,12,fcc,Ni_(fcc)_EntryWithCollCode37502.cif,28.000000,Transition Metals
Cu,fcc,F m -3 m,225,3.619900,3.619900,3.619900,90.000000,90.000000,90.000000,47.430000,4,8.900000,1.279828,11.857500,12,fcc,Cu_(fcc)_EntryWithCollCode136042.cif,29.000000,Transition Metals
Zn,hcp,P 63/m m c,194,2.663570,2.663570,4.945700,90.000000,90.000000,120.000000,30.390000,2,7.140000,1.331785,15.195000,12,hcp,Zn_(hcp)_EntryWithCollCode421014.cif,30.000000,Transition Metals
Ga,α-Ga,C m c a,64,4.519800,7.660200,4.525800,90.000000,90.000000,90.000000,156.690000,8,5.910000,1.581930,19.586250,7,gallium,Ga_(α-Ga)_EntryWithCollCode52271.cif,31.000000,Post-transition Metals
Ge,diamond,F d -3 m S,227,5.657350,5.657350,5.657350,90.000000,90.000000,90.000000,181.070000,8,5.330000,1.224852,22.633750,4,diamond,Ge_(diamond)_EntryWithCollCode44610.cif,32.000000,Metalloids
As,Black P,B m a b,64,3.650000,4.470000,11.000000,90.000000,90.000000,90.000000,179.470000,8,5.550000,0.912500,22.433750,3,black phosphorus,As_(Black P)_EntryWithCollCode70100.cif,33.000000,Metalloids
As,α-As,R -3 m H,166,3.759800,3.759800,10.547500,90.000000,90.000000,120.000000,129.120000,6,5.780000,0.939950,21.520000,3,arsenic,As_(α-As)_EntryWithCollCode16518.cif,33.000000,Metalloids
Se,γ-Se,P 31 2 1,152,4.368000,4.368000,4.958000,90.000000,90.000000,120.000000,81.920000,3,4.800000,1.310400,27.306667,2,selenium,Se_(γ-Se)_EntryWithCollCode40018.cif,34.000000,Nonmetals
Rb,bcc,I m -3 m,229,5.697000,5.697000,5.697000,90.000000,90.000000,90.000000,184.900000,2,1.540000,2.466873,92.450000,8,bcc,Rb_(bcc)_EntryWithCollCode44869.cif,37.000000,Alkali Metals
Sr,fcc,F m -3 m,225,6.084900,6.084900,6.084900,90.000000,90.000000,90.000000,225.300000,4,2.580000,2.151337,56.325000,12,fcc,Sr_(fcc)_EntryWithCollCode76162.cif,38.000000,Alkaline Earth Metals
Y,hcp,P 63/m m c,194,3.663100,3.663100,5.814700,90.000000,90.000000,120.000000,67.570000,2,4.370000,1.831550,33.785000,12,hcp,Y_(hcp)_EntryWithCollCode95176.cif,39.000000,Transition Metals
Zr,hcp,P 63/m m c,194,3.257300,3.257300,5.198840,90.000000,90.000000,120.000000,47.770000,2,6.340000,1.628650,23.885000,12,hcp,Zr_(hcp)_EntryWithCollCode253516.cif,40.000000,Transition Metals
Nb,bcc,I m -3 m,229,3.300208,3.300208,3.300208,90.000000,90.000000,90.000000,35.940000,2,8.580000,1.429032,17.970000,8,bcc,Nb_(bcc)_EntryWithCollCode645058.cif,41.000000,Transition Metals
Mo,bcc,I m -3 m,229,3.147370,3.147370,3.147370,90.000000,90.000000,90.000000,31.180000,2,10.220000,1.362851,15.590000,8,bcc,Mo_(bcc)_EntryWithCollCode52267.cif,42.000000,Transition Metals
Tc,hcp,P 31 2 1,152,4.459300,4.459300,5.928200,90.000000,90.000000,120.000000,102.090000,3,6.230000,2.229650,34.030000,12,hcp,Tc_(hcp)_EntryWithCollCode161690.cif,43.000000,Transition Metals
Ru,hcp,P 63/m m c,194,2.705800,2.705800,4.281100,90.000000,90.000000,120.000000,27.140000,2,12.370000,1.352900,13.570000,12,hcp,Ru_(hcp)_EntryWithCollCode43710.cif,44.000000,Transition Metals
Rh,fcc,F m -3 m,225,3.590966,3.590966,3.590966,90.000000,90.000000,90.000000,46.310000,4,14.500000,1.269598,11.577500,12,fcc,Rh_(fcc)_EntryWithCollCode171677.cif,45.000000,Transition Metals
Pd,fcc,F m -3 m,225,3.890500,3.890500,3.890500,90.000000,90.000000,90.000000,58.890000,4,12.000000,1.375499,14.722500,12,fcc,Pd_(fcc)_EntryWithCollCode648676.cif,46.000000,Transition Metals
Ag,Unknown,F m -3 m,225,4.086260,4.086260,4.086260,90.000000,90.000000,90.000000,68.230000,4,10.500000,2.043130,17.057500,Unknown,unknown,Ag_EntryWithCollCode604632.cif,47.000000,Transition Metals
Cd,hcp,P 63/m m c,194,2.977000,2.977000,5.612000,90.000000,90.000000,120.000000,43.070000,2,8.670000,1.488500,21.535000,12,hcp,Cd_(hcp)_EntryWithCollCode619639.cif,48.000000,Transition Metals
In,tI2,I 4/m m m,139,3.260000,3.260000,4.940000,90.000000,90.000000,90.000000,52.500000,2,7.260000,1.479679,26.250000,8,tetragonal centered,In_(tI2)_EntryWithCollCode182791.cif,49.000000,Post-transition Metals
Sn,β-Sn,I 41/a m d Z,141,5.834600,5.834600,3.181700,90.000000,90.000000,90.000000,108.310000,4,7.280000,1.113595,27.077500,4,beta tin,Sn_(β-Sn)_EntryWithCollCode252800.cif,50.000000,Post-transition Metals
Sn,diamond,F d -3 m S,227,6.489200,6.489200,6.489200,90.000000,90.000000,90.000000,273.260000,8,5.770000,1.404953,34.157500,4,diamond,Sn_(diamond)_EntryWithCollCode40039.cif,50.000000,Post-transition Metals
Sb,α-As,R -3 m H,166,4.307240,4.307240,11.275400,90.000000,90.000000,120.000000,181.160000,6,6.700000,1.076810,30.193333,3,arsenic,Sb_(α-As)_EntryWithCollCode161493.cif,51.000000,Metalloids
Te,γ-Se,P 63/m m c,194,2.740700,2.740700,4.398000,90.000000,90.000000,120.000000,28.610000,2,11.490000,0.822210,14.305000,2,selenium,Te_(γ-Se)_EntryWithCollCode653014.cif,52.000000,Metalloids
I,Cmca,C m c a,64,7.255000,4.795000,9.780000,90.000000,90.000000,90.000000,340.220000,4,4.950000,1.451000,85.055000,2,molecular,I2_(Cmca)_EntryWithCollCode24009.cif,53.000000,Nonmetals
Cs,bcc,I m -3 m,229,6.141000,6.141000,6.141000,90.000000,90.000000,90.000000,231.590000,2,1.910000,2.659131,115.795000,8,bcc,Cs_(bcc)_EntryWithCollCode626969.cif,55.000000,Alkali Metals
Ba,Unknown,I m -3 m,229,5.026000,5.026000,5.026000,90.000000,90.000000,90.000000,126.960000,2,3.590000,2.513000,63.480000,Unknown,unknown,Ba_EntryWithCollCode259551.cif,56.000000,Alkaline Earth Metals
